11139,24201
12487,8913
13615,4619
13620,30803
14385,30335
14729,51023
15472,14668
15822,33211
16059,58431
16310,31825
16450,30471
18727,21894
19017,63087
19855,2871
21264,27566
21739,60088
21852,61007
22064,4876
22443,38062
24221,8437
24306,29547
2482,17473
25196,29152
25404,58230
26,41997
26328,6469
26668,43792
27030,14480
27291,2839
28202,9765
28288,28267
29224,59280
2978,13271
30286,9712
30604,26811
3103,34693
3295,19353
33242,62580
33811,26191
34354,43041
34717,30155
34802,29653
34869,54975
35557,4857
36081,25834
36367,60813
37313,45247
38109,29949
3847,38639
38822,11535
39918,28457
40339,62870
40546,57157
40819,38807
41716,51752
41845,23281
42100,34388
4253,31265
4275,34993
43024,37372
43260,427
43294,33093
43639,59734
44861,12082
44991,30279
45135,32734
45265,45790
4560,45306
45796,4735
46505,242
46653,1628
46945,63585
48261,47344
48384,12869
48540,20158
4905,42392
53761,6387
54374,32907
55251,50282
55903,5363
56534,47288
56581,59559
57853,55234
581,43593
5923,63104
59856,21248
60196,10921
6203,11056
63601,39850
64881,17868
65083,32240
7611,43613
8218,11538
8771,5829
9264,13823
